county_name,acreage_change_pct,farm_count_change_pct,avg_farm_size_change_pct,consolidation_ratio,high_risk
ADAIR,7.0856072992543275,-11.245843927244287,20.65418909675792,-1.5650512836140242,0
ALLEN,3.491148780168262,-18.191823899371062,26.50465236245821,-5.065739409025179,1
ANDERSON,-7.400238904411507,-16.430343849698684,10.80548294831607,2.2506583777374582,1
BALLARD,7.540236464915571,3.2719650018228212,4.133039845825935,0.42825441553384935,0
BARREN,17.600364989495546,-14.996184177054184,38.34715989038067,-0.8472245733889564,0
BATH,23.253545578109716,-15.180568871844038,45.312865152187356,-0.6500327250553953,0
BELL,49.65032012845206,-29.157175398633257,111.24273484369918,-0.586070106149093,0
BOONE,15.595065163872263,0.2728785357737115,15.280489452222279,0.017386263320641564,0
BOURBON,34.9340086009156,-5.834669517192224,43.294785786952836,-0.16654301777615416,0
BOYD,58.93094429051312,-5.437352245862877,68.06947358721762,-0.09211020272865118,0
BOYLE,61.490978037360314,-18.20980314440482,97.44539595922598,-0.295656989459706,0
BRACKEN,21.58412174014628,11.325982471020636,9.214505941410337,0.5223168642358043,0
BREATHITT,82.10171717315899,-3.976435935198826,89.64273920333584,-0.04837412248727617,0
BRECKINRIDGE,13.817934045766664,-8.754896951115654,24.738676644147123,-0.6290371058180564,0
BULLITT,-20.63499109236942,-20.322164948453604,-0.3926137597908429,0.9896359271373193,1
BUTLER,56.55905070192371,-6.713045546438341,67.8252351778286,-0.1184814334739713,0
CALDWELL,10.219003107481097,-5.105716000800387,16.149254162042826,-0.49478771811773486,0
CALLOWAY,17.62565257579412,12.13008130081301,4.901067769885991,0.6843235389470322,0
CAMPBELL,13.275947357251706,-18.44316795305924,38.89203947016325,-1.3788307818855436,0
CARLISLE,38.37260319321043,-3.020539669754332,42.682381116587024,-0.07851144500373686,0
CARROLL,18.779061955986958,-25.667870036101085,59.795046924761486,-1.3595945654472121,0
CARTER,12.270260169069672,-3.1743002544529255,15.95088955113169,-0.25660739637391594,0
CASEY,36.322722499392576,-15.760849038788377,61.82822469585799,-0.43272023498658624,0
CHRISTIAN,21.116214505648504,-4.815343807386248,27.243422785033932,-0.22696526781930082,0
CLARK,20.027338424598522,-7.586431833007172,29.88064502358264,-0.37692176049146436,0
CLAY,25.924680096218864,-14.392059553349876,47.09462631529333,-0.5530158103822725,0
CLINTON,13.822632008123442,-25.801715605410756,53.40332049028309,-1.85322111439534,0
CRITTENDEN,16.737606617834523,-10.837245696400629,30.926424973753875,-0.6436333822481477,0
CUMBERLAND,44.18011207729221,11.81313421405323,28.94738448282485,0.26678194024064494,0
DAVIESS,33.89166792406931,10.166863894469353,21.53533575424852,0.29909870610586464,0
EDMONSON,35.72888670157259,-8.64941366761019,48.580203095475646,-0.24140894300325977,0
ELLIOTT,3.497121228663971,-7.191708754208753,11.517106757805397,-1.9992956303226597,1
ESTILL,14.451699469745357,7.641101904964246,6.327134750807501,0.525100310163151,0
FAYETTE,38.81839754844717,6.227254346947011,30.680585130304504,0.16000798437795585,0
FLEMING,2.9084049785810495,-12.389780691838125,17.46164521813265,-4.11838857469313,1
FLOYD,5.883151021792587,-45.03657262277952,92.64291925447812,-7.52723313497213,1
FRANKLIN,8.139603333840236,-12.397018438603368,23.442834257930475,-1.5045649573552327,0
FULTON,0.5780883344911724,15.58666906001317,-12.984698709268521,22.98619260528819,1
GALLATIN,20.025184569273332,-34.5766129032258,83.45914189941314,-1.7180768098900605,0
GARRARD,0.24748902720491167,-13.34754797441364,15.689154413777315,-38.411422892334066,1
GRANT,10.197679515463221,-0.9758865248226948,11.283681972156037,-0.09476761471914932,0
GRAVES,18.647215524768228,-1.2497352255878011,20.14875686238328,-0.06666244509413627,0
GRAYSON,44.3427433700123,-2.873123058336203,48.612565249788936,-0.06464774315158141,0
GREEN,28.518153743604707,-9.71337579617835,42.34462178304014,-0.33941308315002655,0
GREENUP,41.47009831482813,-12.195121951219512,61.11872308077648,-0.29336283640372074,0
HANCOCK,63.41536348927483,2.6462733673221726,59.20243193290514,0.04166351606834496,0
HARDIN,8.613825946365901,-1.571794747787399,10.348274326503928,-0.18037940595346819,0
HARLAN,36.00096130737804,5.656249999999998,28.720223656790804,0.15667865328683134,0
HARRISON,31.77139181736155,-5.470505617977534,39.39711904607599,-0.17164313530222244,0
HART,30.47519499348993,2.3344573971896416,27.49879005766156,0.07635134944148989,0
HENDERSON,28.37920887293054,3.1438180975973187,24.46621740476473,0.1103899378534182,0
HENRY,23.915099229826986,-11.094251004832222,39.37804993528828,-0.46196981734945547,0
HICKMAN,6.35950233215397,-15.852216748768463,26.3960834412086,-2.4540925807642555,1
HOPKINS,91.31603544107902,-1.2245571440357343,93.68785389305593,-0.013395430442014807,0
JACKSON,36.448861922253464,-9.00276394164685,49.94835868943741,-0.24632132077867372,0
JEFFERSON,-9.25142004686706,-17.676575203252035,10.234213624112721,1.9315663703256103,1
